wkday,hr,value,road,veh_series,avgTrpODO_km,avgTrpTime_min,avg_maxVhlSpd,avgEngSpd
4,15.5,5912,O,HS5,18.08,26.11,49.17,1046
6,13,5909,O,HS5,15.61,27.08,51.23,1060
3,14.5,5906,O,HS5,18.51,25.94,49.35,1055
7,17,5900,O,HS5,17.24,24.96,49.3,1055
1,16,5898,O,HS5,16.08,28.41,51.31,1054
3,14,5884,O,HS5,17.49,27.27,50.22,1052
7,15.5,5883,O,HS5,30.58,28.4,49.8,1048
5,16,5875,O,HS5,14.33,25.58,49.46,1052
1,16.5,5875,O,HS5,16.86,27.1,51.13,1051
5,18.5,5863,O,HS5,15.98,21.6,48.46,1047
1,14,5860,O,HS5,21.8,31.81,54.37,1064
7,18,5810,O,HS5,19.38,23.68,50.52,1055
4,12,5801,O,HS5,6.41,20.72,49.02,1067
4,14,5798,O,HS5,21.76,26.47,50.01,1054
1,14.5,5794,O,HS5,30.9,31.36,53.13,1059
7,8,5757,O,HS5,29.17,29.47,56.7,1097
1,15.5,5721,O,HS5,19.48,30.24,52.82,1057
7,15,5711,O,HS5,20.65,29.36,50.92,1054
7,12,5695,O,HS5,25.06,22.76,50.88,1066
4,15,5656,O,HS5,16.55,26.05,48.61,1049
1,15,5654,O,HS5,20.45,30.75,52.74,1066
5,11,5642,O,HS5,12.79,22.08,47.75,1047
4,18.5,5603,O,HS5,15.95,21.89,48.38,1047
3,13.5,5602,O,HS5,16.68,27.57,50.53,1058
6,7.5,5590,O,HS5,32.96,29.17,59.47,1103
6,12.5,5583,O,HS5,16.81,23.9,49.8,1061
1,12,5583,O,HS5,19.11,24.28,52.49,1074
5,14,5581,O,HS5,17.29,26.75,50.07,1056
1,13,5577,O,HS5,19.67,29.8,53.93,1068
7,14,5537,O,HS5,18.62,30.02,52,1056
7,13.5,5534,O,HS5,22.25,29.62,52.26,1061
4,13.5,5501,O,HS5,19.39,27.32,50.37,1058
7,18.5,5496,O,HS5,17.33,23.62,49.97,1051
1,12.5,5482,O,HS5,18.41,28.34,53.42,1066
1,18.5,5451,O,HS5,15.86,23.57,49.93,1054
7,13,5387,O,HS5,20.87,29.29,52.78,1061
6,19,5373,O,HS5,24.44,22.87,47.93,1044
3,19,5369,O,HS5,14.65,21.58,48.41,1046
3,10.5,5364,O,HS5,17.84,22.29,46.78,1039
5,11.5,5346,O,HS5,12.05,20.33,47.74,1050
2,19,5295,O,HS5,14.97,21.49,48.4,1057
5,7.5,5222,O,HS5,27.36,27.74,59.25,1104
3,11,5216,O,HS5,24.34,20.89,45.99,1038
4,7.5,5201,O,HS5,32.19,28.67,58.99,1103
5,12,5184,O,HS5,15.44,21.98,49.27,1064
3,13,5160,O,HS5,17.15,26.77,50.67,1059
1,8,5148,O,HS5,26.59,28.44,55.73,1092
4,19,5080,O,HS5,14.1,20.77,48.04,1053
4,13,4971,O,HS5,24.2,25.99,50.44,1058
5,13.5,4949,O,HS5,19.9,28,50.59,1059
7,12.5,4943,O,HS5,45.26,26.78,52.59,1065
3,12.5,4900,O,HS5,15.8,23.24,49.26,1058
4,12.5,4889,O,HS5,13.33,23.8,49.67,1067
5,19,4888,O,HS5,14.88,21.36,47.75,1047
1,19,4873,O,HS5,17.14,23.23,49.92,1057
2,19.5,4845,O,HS5,13.14,21.75,47.54,1052
7,19,4796,O,HS5,15,23.17,49.63,1054
2,20,4734,O,HS5,11.11,23.04,48.16,1041
5,13,4716,O,HS5,16.06,26.5,50.78,1058
6,19.5,4703,O,HS5,15.5,22.33,47.62,1051
5,12.5,4683,O,HS5,13.94,24.53,50.59,1062
6,20,4667,O,HS5,12.52,23.07,48.1,1049
3,19.5,4659,O,HS5,11.31,22.23,48.12,1055
3,20,4631,O,HS5,14.68,22.67,48.26,1037
3,7,4547,O,HS5,35.04,32.03,63.98,1123
5,20,4486,O,HS5,10.79,21.5,47.49,1040
4,19.5,4439,O,HS5,16.53,21.23,47.4,1057
7,19.5,4409,O,HS5,20.96,23.88,49.11,1054
7,7.5,4393,O,HS5,31.67,29.44,59.63,1125
1,19.5,4330,O,HS5,13.94,24.23,49.95,1062
1,20,4296,O,HS5,12.79,24.46,49.56,1047
