wkday,hr,value,road,veh_series,avgTrpODO_km,avgTrpTime_min,avg_maxVhlSpd,avgEngSpd
7,10,552,S,HS5,49.5,28.01,52.12,1091
4,15.5,552,G,HS5,22.09,32.77,53.61,1076
1,11,552,S,HS5,16.94,26.09,52.98,1073
6,5,552,O,HS5,21.92,24.09,52.5,1090
2,8,552,S,HS5,60.66,28.23,59.24,1121
1,12.5,551,G,HS5,38.63,41.48,62.53,1126
5,18.5,551,G,HS5,28.34,29.3,58.02,1100
1,18,551,G,HS5,23.08,29.28,54.75,1095
2,15.5,550,S,HS5,23.08,28.51,53.33,1095
7,14,549,G,HS5,45.18,37.56,58.63,1114
4,11.5,549,S,HS5,19.47,24.39,51.89,1096
3,13,549,G,HS5,31.67,35.81,59.37,1135
6,13,549,G,HS5,125.44,38.69,58.53,1115
2,2.5,549,O,HS5,5.73,15.51,37.79,907
5,18,548,G,HS5,22.75,25.57,54.46,1091
2,14.5,547,S,HS5,37.31,29.5,52.1,1078
3,13.5,546,G,HS5,71.27,31.14,53.41,1087
3,8.5,546,S,HS5,37.19,28.14,52.35,1106
7,8.5,545,S,HS5,29.52,29.15,52.82,1101
7,11,544,S,HS5,20.61,29.34,54.92,1100
3,2.5,544,O,HS5,11.44,13.89,34.77,910
1,18,544,S,HS5,18.11,25.32,53.56,1092
6,24,543,O,HS5,6.65,18.43,47.12,1038
4,17.5,543,S,HS5,36.17,26.45,54.15,1090
5,16,542,S,HS5,19.07,26.5,51.38,1071
2,15,542,S,HS5,14.82,22.42,51.86,1090
7,17.5,541,G,HS5,29.64,29.42,55.4,1100
6,11,540,S,HS5,31.16,23.39,49.33,1077
2,24,539,O,HS5,8.24,19.32,45.76,1015
6,14.5,539,S,HS5,21.95,30.26,55.96,1105
6,14,538,S,HS5,25.22,30.59,53.56,1095
1,13.5,537,S,HS5,23.39,35.82,60.71,1129
6,18.5,537,G,HS5,142.88,30.25,57.21,1093
4,12.5,536,G,HS5,27.53,32.79,55.17,1106
4,15,535,S,HS5,66.7,26.26,52.54,1092
5,16.5,534,S,HS5,22.97,31.14,54.92,1085
3,8,534,G,HS5,49.23,27.75,58.16,1141
5,14,533,S,HS5,28.08,30.48,55.01,1108
7,24,533,O,HS5,13.51,19.43,47.62,1022
7,14.5,531,S,HS5,29.36,36.77,58.73,1108
6,0,529,O,HS5,9.05,20.36,46.35,976
4,14.5,528,S,HS5,16.22,27.71,51.6,1088
5,18.5,528,S,HS5,25.53,25.83,55.1,1099
5,24,527,O,HS5,7.08,18.1,44.15,990
3,24,526,O,HS5,6.07,16.69,44.89,1016
2,18.5,525,S,HS5,24.44,24.22,54.34,1092
7,11.5,523,S,HS5,46.12,25.95,55.46,1113
7,17.5,523,S,HS5,17.01,25.24,51.19,1064
1,13,523,G,HS5,53.01,47.63,61.47,1135
3,14.5,522,S,HS5,21.51,27.29,51.32,1092
5,17.5,521,S,HS5,15.19,24.68,51.15,1075
6,16,520,S,HS5,44.78,27.85,54.23,1078
5,15.5,518,S,HS5,20.39,26.5,53.8,1099
3,18.5,518,S,HS5,17.12,21.89,51.93,1078
4,14,517,S,HS5,21.6,30,52.93,1096
5,13.5,516,G,HS5,186.92,36.57,57.29,1124
4,5,516,O,HS5,29.02,27.86,57.03,1134
2,18.5,516,G,HS5,44.44,30.34,57.99,1112
7,16,515,S,HS5,99.73,26.45,55.73,1112
1,17.5,515,S,HS5,15.08,24.75,53.33,1077
4,13,515,G,HS5,42.8,38.29,55.21,1099
7,18,514,G,HS5,50.1,31.7,56.53,1097
1,14.5,512,S,HS5,53.54,37.44,58.52,1099
7,18,510,S,HS5,16.38,24.98,54.88,1089
5,8.5,509,S,HS5,26.13,26.86,52.29,1107
4,12,508,S,HS5,23.61,22.46,52.28,1105
2,5,507,O,HS5,44.96,32.29,58.39,1131
7,13,506,G,HS5,66.44,39.58,61.26,1137
7,17,506,S,HS5,35.86,28,53.85,1092
4,15.5,502,S,HS5,28.76,27.48,54.73,1092
5,12.5,500,G,HS5,36.91,38.35,58.47,1112
7,12,498,S,HS5,36.12,31.65,57.25,1124
3,13.5,498,S,HS5,24.07,34.3,56.34,1117
5,11,498,S,HS5,15.34,21.85,51.68,1078
3,14,498,S,HS5,160.25,32.79,55.5,1099
1,14,496,S,HS5,23.6,35.03,58,1113
6,18.5,495,S,HS5,114.92,25.78,52.72,1083
6,15,494,S,HS5,61.88,29.88,53.86,1091
4,8.5,494,S,HS5,29.65,27.45,51.82,1097
5,5,490,O,HS5,38,34.57,63.84,1167
1,2.5,490,O,HS5,5.67,14.69,38.87,927
1,8.5,490,S,HS5,36.39,35.49,57.36,1125
6,2.5,490,O,HS5,4.42,15.11,38.2,916
7,15,488,S,HS5,32.98,38.98,60.1,1119
1,13,487,S,HS5,25.65,33.98,59.86,1136
4,16.5,485,S,HS5,23.16,28.66,55.59,1097
6,12.5,485,S,HS5,21.49,31.02,59.14,1125
1,15.5,484,S,HS5,106.03,32.03,56.66,1106
6,8,483,S,HS5,39.22,31.88,55.72,1107
6,13.5,483,S,HS5,28.93,31.24,56.93,1118
6,15.5,483,S,HS5,31.14,32.22,57.6,1110
3,19,483,G,HS5,65.13,26.79,55.16,1112
4,8.5,483,G,HS5,94.02,29.67,51.36,1083
7,12.5,483,S,HS5,56.94,29.48,55.54,1107
1,16.5,482,S,HS5,20.19,30.23,56.25,1103
7,18.5,482,G,HS5,32.6,33.32,60.36,1116
6,13,481,S,HS5,22.31,32.15,58.41,1125
4,2.5,481,O,HS5,-4.37,15.48,35.52,880
5,12,479,S,HS5,17.61,25.17,55.04,1115
7,16.5,479,S,HS5,27.87,31.87,54.46,1087
4,13.5,478,S,HS5,56.13,30.53,57.43,1118
2,4.5,478,O,HS5,19.63,22.34,39.91,964
7,14,477,S,HS5,21.79,34.08,58.1,1111
2,19,476,S,HS5,32.64,24.21,54.44,1099
5,2.5,476,O,HS5,6.1,15.89,37.56,907
6,4.5,476,O,HS5,14.88,19.05,40.95,963
4,18.5,476,S,HS5,14.28,21.47,54.42,1098
7,12.5,475,G,HS5,42.65,43.67,61.03,1127
5,8,475,S,HS5,35.41,29.21,57.43,1115
1,12.5,474,S,HS5,27.34,33.86,56.06,1098
1,12,474,S,HS5,29.46,33.31,58.24,1141
1,24,473,O,HS5,7.95,19.2,45.61,1003
1,5,473,O,HS5,45.76,39.54,63.07,1160
6,19,473,S,HS5,28.96,25.32,51.17,1077
6,19,471,G,HS5,34.48,31.83,55.61,1113
5,8.5,470,G,HS5,41.06,27.78,49.47,1095
7,15.5,469,S,HS5,30.21,32.56,54.99,1085
3,10.5,467,S,HS5,46.77,26.14,52.28,1090
1,16,466,S,HS5,23.05,34.32,59.3,1110
4,24,465,O,HS5,8.64,19.31,46.44,1012
3,5,463,O,HS5,36.18,32.03,54.92,1108
3,19,463,S,HS5,19.25,23.56,51.34,1087
1,18.5,463,G,HS5,49.05,31.24,57.58,1122
7,13.5,459,S,HS5,24.68,32.75,55.54,1106
7,3,454,O,HS5,6.66,18.09,39.79,934
1,18.5,454,S,HS5,21.11,23.5,53.88,1092
1,8.5,452,G,HS5,81.61,31.66,51.72,1122
3,11,450,S,HS5,65.39,28.3,53.8,1089
7,19,450,S,HS5,20.67,24.69,55.26,1103
3,13,449,S,HS5,22.83,30.42,58.9,1151
3,4.5,449,O,HS5,13.17,18.11,40.25,986
4,8,449,S,HS5,27.61,27.24,57.03,1111
4,12.5,448,S,HS5,16.89,25.34,52.2,1109
4,18.5,447,G,HS5,23.59,25.38,50.76,1074
1,15,446,S,HS5,25.68,34.46,57.27,1109
3,12.5,446,S,HS5,20.9,27.61,58.16,1130
5,13,443,G,HS5,34.74,39.95,56.23,1115
4,3,442,O,HS5,6.4,17.41,41.02,927
7,8,440,S,HS5,28.13,30.22,56.74,1119
5,19,440,S,HS5,21.76,24.77,53.09,1094
2,8,440,G,HS5,57.24,28.14,55.95,1104
5,4,440,O,HS5,9.16,20.08,43.14,954
7,13,438,S,HS5,24.01,33.95,56.78,1100
4,3.5,437,O,HS5,4.82,16.92,39.25,900
3,3,437,O,HS5,9.5,15.01,38.89,958
4,13,436,S,HS5,29.36,34.64,57.89,1119
2,19,435,G,HS5,36.54,26.72,53.03,1111
4,16,434,S,HS5,26.61,33.95,58.56,1108
5,4.5,431,O,HS5,13.59,18.92,40.07,968
2,20,429,S,HS5,18.58,24.29,53.52,1094
3,19.5,429,G,HS5,23.69,29.16,55.28,1121
1,19,429,G,HS5,42.68,32.56,57.92,1129
2,7.5,428,S,HS5,48.72,31.77,62.4,1123
2,19.5,423,G,HS5,40.11,32.64,54.95,1111
5,3,423,O,HS5,4.17,15.44,35.99,909
2,19.5,418,S,HS5,31.66,21.85,52.41,1099
5,13.5,417,S,HS5,34.48,34.01,56.25,1110
1,4,416,O,HS5,5.4,16.24,36.16,951
3,4,415,O,HS5,17.31,18.7,37.94,950
5,13,414,S,HS5,24.82,32.55,56.29,1119
7,19.5,408,S,HS5,14.53,25.52,51.72,1080
5,8,408,G,HS5,53.39,30.87,57.8,1126
6,8,406,G,HS5,93.47,39.75,60.28,1120
4,8,405,G,HS5,31.74,31,57.2,1129
4,4,405,O,HS5,12.58,20.35,36.34,906
2,4,404,O,HS5,16.44,19.13,38.38,954
3,7.5,403,S,HS5,30.99,27.83,59.89,1132
5,12.5,403,S,HS5,25.13,25.25,51.42,1087
7,8,403,G,HS5,47.86,34.94,55.65,1131
5,19,402,G,HS5,24.98,30.91,54.92,1083
1,19.5,401,S,HS5,20.03,26.27,54.48,1099
4,19,401,G,HS5,31.88,25.19,52.55,1095
4,7.5,400,S,HS5,31.43,31.75,61.71,1150
6,19.5,396,S,HS5,14.63,25.89,51.82,1089
6,3.5,395,O,HS5,6.7,17.02,35.92,887
3,19.5,395,S,HS5,14.04,22.2,50.89,1065
1,3,395,O,HS5,6.62,16.82,37.2,954
7,4,392,O,HS5,8.02,18.51,39.12,952
1,19,390,S,HS5,18.38,23.56,53,1096
6,3,389,O,HS5,9.51,19.05,37.82,909
3,20,387,S,HS5,17.22,25.68,55.04,1113
6,4,386,O,HS5,11.84,16.58,41.04,953
7,4.5,384,O,HS5,15.84,22.03,43.64,980
6,20.5,384,S,HS5,17.59,26.57,55.06,1112
4,19,383,S,HS5,14.37,24.09,49.98,1078
5,19.5,381,S,HS5,16.63,22.67,52.97,1101
7,20,380,S,HS5,23.49,28.48,55.45,1105
6,19.5,378,G,HS5,30.25,32.87,53.48,1120
4,19.5,378,S,HS5,27.89,23.38,51.28,1068
6,20,377,S,HS5,17.98,27.55,53.07,1088
1,4.5,377,O,HS5,12.63,20.85,46.8,999
1,8,376,S,HS5,29.51,34.48,58.59,1141
2,20,376,G,HS5,66.98,33.07,57.39,1118
1,19.5,375,G,HS5,110.36,33.5,58.29,1125
4,19.5,373,G,HS5,24.46,25.57,54.93,1105
3,20,371,G,HS5,44.91,28.88,56.62,1135
4,4.5,370,O,HS5,14.59,18.35,40.44,958
7,19,369,G,HS5,58.67,34.35,60.8,1139
1,3.5,368,O,HS5,8.45,17.42,38.67,939
2,3,368,O,HS5,4.77,16.85,38.61,958
1,8,367,G,HS5,42.09,34.07,57.14,1132
6,7.5,366,S,HS5,36.34,34.25,60.93,1137
3,3.5,360,O,HS5,4.77,14.87,34.93,939
5,3.5,359,O,HS5,6.16,18.81,41.91,921
7,7.5,358,S,HS5,31.67,32.31,61.64,1148
7,19.5,356,G,HS5,25.57,28.96,55.12,1110
6,20,355,G,HS5,24.73,32.34,55.74,1113
2,7.5,355,G,HS5,64.58,29.63,58.99,1114
7,3.5,350,O,HS5,5.74,19.95,39.25,896
5,20,349,G,HS5,33.91,28.17,58.05,1126
2,3.5,348,O,HS5,7.75,19.37,38.13,921
7,20.5,347,S,HS5,20.84,26.81,54.34,1102
5,7.5,341,S,HS5,34.26,29.69,60.22,1134
1,20.5,338,G,HS5,71.89,41.13,69.39,1177
5,19.5,337,G,HS5,26.15,28.02,51.75,1085
4,20,334,S,HS5,14.15,23.83,50.17,1069
5,20,334,S,HS5,31.73,23.69,53.96,1105
7,20,332,G,HS5,24.39,27.94,55.1,1105
2,20.5,332,S,HS5,203.69,22.68,55.23,1114
1,20,331,S,HS5,19.56,27.17,55.08,1115
1,20.5,326,S,HS5,66.65,24.02,55.57,1103
4,7.5,325,G,HS5,54.44,44.58,61.76,1137
3,7.5,322,G,HS5,48.26,34.59,61.56,1138
6,20.5,322,G,HS5,31.17,32.19,57.32,1131
5,7.5,319,G,HS5,41.91,30.41,61.11,1153
2,21,319,S,HS5,11.88,19.2,51.66,1101
6,21,316,S,HS5,20.15,20.8,52.82,1098
5,20.5,316,S,HS5,44.28,21.48,51.43,1091
3,7,312,S,HS5,35.99,31.85,65.45,1175
2,20.5,310,G,HS5,35.73,33.1,60.04,1132
1,20,309,G,HS5,26.13,32.19,60.6,1159
3,20.5,304,S,HS5,15.2,21.72,53.22,1104
4,20,304,G,HS5,60.87,29.35,58.45,1115
1,21,301,S,HS5,37.74,26.71,58.42,1115
6,7.5,297,G,HS5,60.92,39.02,63.07,1152
2,7,297,S,HS5,48.63,37.33,69.19,1175
3,21,296,S,HS5,15.19,23.14,56.68,1125
3,20.5,295,G,HS5,26.5,32.28,60.93,1128
1,7.5,292,S,HS5,30.39,33.95,60.9,1152
7,21,292,S,HS5,18.33,23.41,53.82,1089
4,20.5,292,S,HS5,14.26,22.1,51.65,1073
7,7.5,289,G,HS5,32.9,34.96,64.61,1158
5,20.5,284,G,HS5,81.79,29.14,56.81,1122
2,21.5,283,S,HS5,16.88,17.97,51.14,1075
4,21,274,S,HS5,10.18,18.75,52.05,1101
3,21.5,271,S,HS5,25.54,20.85,52.21,1100
1,21,271,G,HS5,92.88,27.18,63.41,1184
5,21,269,S,HS5,16.48,20.99,54.58,1129
7,21.5,262,S,HS5,11.29,20.12,51.76,1091
7,20.5,258,G,HS5,49.16,30.11,57.68,1106
3,7,257,G,HS5,59.98,40.54,68.18,1200
6,21,257,G,HS5,47.25,29.91,57.72,1126
6,7,252,S,HS5,38.84,27.15,56.92,1151
7,21,246,G,HS5,25.68,31.18,55.94,1111
2,21,245,G,HS5,32.92,32.45,59.24,1129
3,21,244,G,HS5,24.48,31.56,60.04,1149
1,7.5,243,G,HS5,38.09,34.17,61.83,1153
1,21.5,241,S,HS5,44.2,22.77,54.65,1107
2,7,241,G,HS5,93.03,41.5,69.05,1214
5,21.5,240,S,HS5,35.79,21.88,56.01,1116
5,7,240,S,HS5,42.6,33.63,65.2,1183
4,20.5,240,G,HS5,47.99,32.85,58.55,1136
5,21,239,G,HS5,24.22,28.69,56.61,1124
6,21.5,238,S,HS5,15.74,26.04,52.26,1083
7,22,237,G,HS5,66.37,34.3,69.36,1162
4,21,232,G,HS5,25.7,27.97,54.53,1111
3,21.5,229,G,HS5,25.7,25.21,57.84,1140
4,7,229,S,HS5,28.83,29.22,58.66,1143
1,21.5,225,G,HS5,43.26,28.78,66.07,1203
6,21.5,220,G,HS5,23.21,29.9,55.68,1120
4,21.5,211,G,HS5,19.48,24.87,62.99,1158
6,22,206,S,HS5,10.35,19.17,49.52,1071
7,7,206,S,HS5,48.99,37.17,62.92,1179
4,21.5,204,S,HS5,36.4,21.77,56.04,1122
7,22,203,S,HS5,24.33,20.41,56.16,1105
1,7,201,S,HS5,43.21,40.57,65.24,1180
2,21.5,199,G,HS5,51.49,33.44,60.79,1138
3,22,198,S,HS5,10.65,18.04,56.03,1106
5,22,196,S,HS5,14.29,18.06,53.16,1139
3,22,196,G,HS5,43.97,28.09,58.17,1140
7,21.5,193,G,HS5,21.61,29.02,61.85,1149
4,22,192,S,HS5,17.16,21.23,57.68,1141
2,22,190,S,HS5,16.93,19.09,55.39,1124
4,22,183,G,HS5,37.31,37.42,64.34,1169
6,7,183,G,HS5,57.32,41.98,69.8,1187
1,22,182,S,HS5,25.98,18.46,52.99,1088
5,21.5,181,G,HS5,39.96,28.87,62.64,1181
4,7,179,G,HS5,78.1,42.84,68.24,1211
1,7,177,G,HS5,64.06,43.97,65.29,1188
6,6.5,175,S,HS5,40.16,29.26,54.67,1145
1,22,175,G,HS5,90.14,26.35,65.75,1143
7,7,173,G,HS5,46.18,36.04,62.94,1168
7,22.5,172,S,HS5,73.37,16.59,56.66,1121
2,6.5,171,S,HS5,58.63,28.85,62.19,1169
7,22.5,171,G,HS5,70.38,20.58,58.59,1148
5,22.5,169,S,HS5,17.46,19.01,52.68,1125
2,22,167,G,HS5,20.25,29.44,58.11,1144
5,7,166,G,HS5,97.38,43.26,67.27,1206
5,22,161,G,HS5,23.2,25.69,61.65,1168
3,6.5,159,S,HS5,38.31,36.7,65.64,1188
6,22.5,159,S,HS5,12.16,19.27,56.27,1141
6,22,154,G,HS5,16.24,21.07,54.17,1113
1,6.5,153,S,HS5,191.88,46.65,64.56,1194
1,6.5,150,G,HS5,100.82,62.61,70.3,1239
6,22.5,146,G,HS5,23.99,28.72,53.38,1123
1,22.5,144,S,HS5,28.34,22.15,56.33,1141
2,23,143,G,HS5,21.2,22.86,57.49,1152
5,6.5,143,S,HS5,46.22,32.45,59.1,1149
2,22.5,142,S,HS5,12.68,20.63,55.1,1097
5,22.5,141,G,HS5,37.61,25.53,61.93,1166
1,22.5,140,G,HS5,28.95,22.35,50.22,1091
3,22.5,137,G,HS5,124.15,24.53,61.61,1177
3,22.5,135,S,HS5,318.44,21.41,53.36,1130
7,6.5,132,S,HS5,35.35,33.34,65.61,1201
2,6.5,131,G,HS5,197.15,38.97,70.37,1207
2,22.5,130,G,HS5,27.11,30.08,57.22,1148
3,23,129,G,HS5,30.64,30.17,60.59,1157
7,23.5,128,G,HS5,32.56,22.96,52.91,1149
4,6.5,127,S,HS5,34.36,37.55,62.17,1172
3,23,126,S,HS5,15.44,22,56.84,1121
1,23,123,S,HS5,23.7,18.87,52,1121
7,23,122,G,HS5,59.15,23.71,55.93,1122
6,23,121,G,HS5,19.81,26.15,57.75,1155
1,23,119,G,HS5,52.73,25.03,60.85,1169
4,22.5,119,S,HS5,13.47,21.44,51.14,1113
7,23,117,S,HS5,10.47,21.33,56.58,1142
6,23,116,S,HS5,64.74,19.28,54.69,1114
5,23,112,S,HS5,16.17,20.9,48.64,1106
4,22.5,112,G,HS5,19.81,22.37,55.13,1133
4,23,111,G,HS5,30.82,28.95,59.85,1168
3,6.5,111,G,HS5,126.32,49.48,67.46,1223
2,23,110,S,HS5,13.76,20.94,59.38,1153
4,23.5,102,S,HS5,18.75,21.67,52.98,1140
7,6.5,102,G,HS5,65.22,47.38,70.06,1210
1,23.5,100,G,HS5,79.7,29.48,61.35,1197
2,23.5,98,G,HS5,24.49,25.05,58.03,1198
1,23.5,98,S,HS5,15.38,20.01,52.51,1154
5,6.5,98,G,HS5,49.28,45.89,62.75,1191
2,23.5,97,S,HS5,10.53,11.99,48.1,1107
6,23.5,97,G,HS5,23.63,26.09,56.46,1180
5,23.5,94,S,HS5,19.74,17.33,56.09,1121
5,23,93,G,HS5,33.63,23.04,58.15,1152
7,6,90,S,HS5,53.01,50.81,64.69,1221
4,23,89,S,HS5,14.2,16.78,50.41,1132
3,23.5,85,S,HS5,10.45,19.88,55.83,1133
4,23.5,84,G,HS5,32.78,34.31,61.56,1191
6,6.5,84,G,HS5,91.96,49.76,67.27,1198
7,23.5,83,S,HS5,10.33,17.44,60.65,1141
6,23.5,82,S,HS5,19.49,20.8,51.73,1132
5,23.5,81,G,HS5,20.8,26.11,58.31,1134
1,6,81,S,HS5,49.8,36.97,66.33,1199
6,6,80,S,HS5,54.06,35.14,61.72,1208
2,6,80,S,HS5,73.45,36.93,68.09,1180
3,23.5,79,G,HS5,22.92,27.02,58.45,1187
4,6.5,78,G,HS5,39.3,35.25,65.22,1212
4,10.5,77,R,HS5,11.96,24.1,49.61,1048
1,0.5,76,G,HS5,467.95,20.53,55.21,1139
4,6,76,S,HS5,75.2,51.08,61.72,1181
5,6,76,S,HS5,52.43,38.25,58.73,1179
4,0.5,75,G,HS5,41.42,40.4,77.37,1307
3,6,75,S,HS5,64.12,52.49,69.47,1218
3,0.5,74,S,HS5,31.02,13.08,43.65,1065
3,17.5,73,R,HS5,17.58,36.21,53.02,1000
2,0.5,73,S,HS5,54.44,19.02,55.37,1156
1,6,72,G,HS5,79.4,39.74,68.15,1265
2,14.5,71,R,HS5,32.78,29.72,44.1,989
5,6,71,G,HS5,53.08,44.39,63.01,1201
6,18,70,R,HS5,23.49,36.41,53.79,1026
2,15,69,R,HS5,39.41,19.51,48.22,1033
4,0.5,69,S,HS5,6.64,14.41,56.44,1135
2,12,69,R,HS5,14.24,24.52,53.06,1064
1,16,69,R,HS5,11.25,30.98,51.16,1032
3,0.5,68,G,HS5,107.59,17.94,51.55,1173
2,12.5,68,R,HS5,15.93,26.91,49.33,1045
2,6,68,G,HS5,86.09,39.76,69.13,1196
2,16.5,67,R,HS5,16.16,31.88,52.64,1021
6,11.5,64,R,HS5,34.21,31.54,51.79,1022
6,10.5,64,R,HS5,78.91,27.49,48.38,1029
6,16,63,R,HS5,57.16,25.06,45.58,1014
2,11,63,R,HS5,11.87,28.26,49.42,1032
7,9,63,R,HS5,16.44,31.41,43.21,1042
6,17,63,R,HS5,10.52,28.67,44.4,943
2,0.5,63,G,HS5,55.71,15.54,54.12,1188
2,15.5,62,R,HS5,12.09,25.38,45.18,1020
5,9.5,62,R,HS5,38.94,17.75,29.88,936
1,12,62,R,HS5,10.07,24.92,59.3,1059
1,9.5,61,R,HS5,68.03,30.76,39.41,977
4,15.5,61,R,HS5,145.41,30.64,49.51,1002
6,17.5,61,R,HS5,15,34.03,53.2,1041
3,16.5,61,R,HS5,24.95,37.08,55.6,1037
7,6,61,G,HS5,45.21,38.48,63.11,1253
3,17,60,R,HS5,11.69,32.15,49.31,1001
6,9,60,R,HS5,33.45,27.62,48.48,1039
1,10.5,60,R,HS5,27.38,39.8,53.05,1023
2,10,60,R,HS5,6.1,19.46,39.92,998
7,9.5,59,R,HS5,18.04,35.45,45.84,1008
3,9,59,R,HS5,18.26,19.89,31.52,972
3,15,59,R,HS5,19.19,35.18,50.35,1006
6,18.5,59,R,HS5,30.45,41.36,53.74,1066
3,18,58,R,HS5,10.67,32.96,48.1,988
6,12,58,R,HS5,10.69,24.28,50.51,1045
6,14,58,R,HS5,14.51,23.57,47.28,1050
2,9.5,58,R,HS5,8.22,19.66,33.81,959
2,17.5,58,R,HS5,19.92,33.83,54.55,1036
5,17.5,58,R,HS5,7.52,24.51,41.79,987
6,11,58,R,HS5,15.24,23.66,42.29,982
1,0.5,58,S,HS5,11.32,17.47,55.18,1108
1,14.5,58,R,HS5,23.78,39.5,56.95,1069
6,6,58,G,HS5,66.3,32.86,63.44,1203
7,10,57,R,HS5,17.93,34.86,45.88,969
5,16,57,R,HS5,10.01,28.22,43.09,987
2,1.5,57,S,HS5,26.74,16.22,53.53,1159
1,5.5,57,S,HS5,90.04,52.14,62.58,1206
2,11.5,57,R,HS5,7.12,24.47,45.84,1004
3,11.5,57,R,HS5,23.4,19.76,43.66,1027
3,1,57,S,HS5,10.49,18.43,46.92,1106
1,9,57,R,HS5,25.72,20.83,37.78,999
7,0.5,57,S,HS5,10.92,12.61,42.61,1111
4,16.5,57,R,HS5,16.12,29.51,55.74,1059
3,6,57,G,HS5,86.59,47.59,68.92,1254
2,18,57,R,HS5,21.39,31.42,47.18,989
7,1.5,56,S,HS5,4.73,9.01,44.85,1151
4,13.5,56,R,HS5,30.48,31.97,57.09,1027
2,1,56,G,HS5,56.88,21.17,58.94,1216
2,9,56,R,HS5,76.29,23.03,38.91,969
2,17,56,R,HS5,12.42,25.5,47.13,994
6,13,56,R,HS5,14.66,22.48,42.36,1041
1,8.5,56,R,HS5,36.1,30.46,40.89,1030
2,8.5,56,R,HS5,28.32,19.22,39.43,1039
6,8.5,56,R,HS5,18.33,26.75,45.88,1045
5,16.5,56,R,HS5,30.67,27.75,50.21,1018
1,10,56,R,HS5,15.25,27.41,45.34,1039
2,16,56,R,HS5,26.65,31.24,43.25,959
4,1,55,S,HS5,5.76,10.94,39.66,1093
2,13,55,R,HS5,12.92,30.37,53.87,1071
5,0.5,55,S,HS5,9.99,18.75,55.17,1118
6,16.5,55,R,HS5,18.28,41.22,53.27,982
7,12,54,R,HS5,14.77,25.94,58.51,1061
5,9,54,R,HS5,35.32,19.41,35.17,1012
2,10.5,54,R,HS5,11.75,26.13,39.59,970
2,14,54,R,HS5,25.29,37.77,49.92,1039
6,9.5,53,R,HS5,61.77,32.69,45.2,1001
1,5,53,S,HS5,301.02,208.98,98.34,1368
6,0.5,53,G,HS5,27.85,31.22,67.34,1198
3,8.5,53,R,HS5,25.5,24.72,44.91,993
5,8.5,53,R,HS5,19.62,26.83,46.05,1021
5,14,52,R,HS5,47.43,30.85,44.21,984
2,5.5,52,G,HS5,43.04,30.81,68.1,1237
7,5.5,52,G,HS5,58.35,39.78,71.47,1256
3,15.5,52,R,HS5,78.45,28.14,46.81,1019
4,17.5,52,R,HS5,16.89,28.28,50.48,1063
1,1,52,G,HS5,75.93,40.82,63.55,1237
4,1,52,G,HS5,19.21,17.87,57.39,1152
7,1,52,G,HS5,50.24,28.14,57.53,1216
1,15,52,R,HS5,29.08,39.49,46.99,1011
6,14.5,52,R,HS5,12.34,28.37,51.78,1058
2,0,52,S,HS5,40.25,14.46,57.15,1128
7,24,51,S,HS5,19.6,17.28,54.32,1115
7,8.5,51,R,HS5,31,36.78,50.03,1083
5,18.5,51,R,HS5,27.34,21.14,48.12,1010
4,6,51,G,HS5,51.97,37.65,70.43,1239
3,16,50,R,HS5,14.34,23.25,39.49,949
7,16,50,R,HS5,1435.27,32.07,49.84,1001
1,5.5,50,G,HS5,69.91,31.99,69.99,1244
1,11.5,50,R,HS5,11.35,18.21,45.58,1017
3,9.5,50,R,HS5,24.79,14.91,40.49,1031
5,15.5,50,R,HS5,12.21,27.58,34.6,934
7,17,50,R,HS5,28.16,29.91,52.32,991
4,14.5,50,R,HS5,8.61,28.05,43.54,1001
4,12,50,R,HS5,25.5,19.92,52.42,1055
7,17.5,49,R,HS5,20.8,38.86,53.77,1027
5,1,49,S,HS5,7.66,17.33,47,1084
6,10,48,R,HS5,6.59,22.09,42.7,1008
7,24,48,G,HS5,25.06,24.91,59.5,1169
1,17.5,48,R,HS5,10.41,26.01,44.69,1008
7,5,48,S,HS5,291.81,123.05,84.99,1323
4,17,48,R,HS5,21.19,33.17,47.47,989
1,16.5,48,R,HS5,19.81,37.41,50.74,1039
7,14.5,48,R,HS5,85.89,40.69,57.76,1072
3,12,48,R,HS5,8.02,18.97,47.58,1069
7,14,47,R,HS5,14.44,33.62,56.53,1060
3,5.5,47,G,HS5,42.36,41.18,69,1222
5,5.5,47,G,HS5,142.76,53.17,72.01,1238
1,15.5,47,R,HS5,6.71,22.89,44.24,989
3,1,47,G,HS5,25.46,31.97,56.12,1162
1,1,47,S,HS5,22.72,10.87,53.75,1138
5,5,47,S,HS5,325.13,300.04,98.8,1340
7,1,47,S,HS5,15.88,14.9,43.72,1119
5,15,47,R,HS5,45.99,30.37,47.74,1017
6,0.5,47,S,HS5,24.32,14.36,47.46,1074
3,14.5,47,R,HS5,10.25,24.56,41.76,972
5,14.5,47,R,HS5,14.73,31.41,49.49,1015
3,24,46,S,HS5,10.48,17.33,52.31,1102
4,1.5,46,G,HS5,65.87,45.55,64.2,1211
1,13.5,46,R,HS5,9.94,25.74,43.49,995
6,13.5,46,R,HS5,19.52,38.83,59.82,1088
7,15.5,46,R,HS5,10.24,35.87,54.31,1021
4,5,46,S,HS5,233.67,192.41,90.79,1412
3,11,46,R,HS5,27.47,32.77,53.51,1043
4,8.5,46,R,HS5,30.91,21.28,40.63,1040
