road,value,avgVhlSpd,mileage_km,vin
O,47841,30.22,4242.64,LFB1E6077KJB05596
O,47744,33.21,6158.65,LFB1E6077KJB00544
O,47471,34.94,5058.22,LFB1E6678KJB03654
O,47465,33.37,4876.11,LFB1E6077KJB04478
O,47453,21.96,5477.62,LFB1E6071KJB04024
O,47290,38.45,5058.06,LFB1E6670KJB09450
O,47192,24.95,4014.99,LFB1E6676KJB05290
O,47175,30.55,4955.5,LFB1E6671KJB03592
O,47125,67.15,9664.32,LFB1E667XKJB01078
O,46864,30.33,4256.73,LFB1E6079KJB02733
O,46842,29.08,4813.1,LFB1E6675KJB03594
O,46842,29.93,3798.96,LFB1E6670KJB06869
O,46709,28.48,3693.63,LFB1E6075KJB02227
O,46675,38.86,5432.67,LFB1E6676KJB03717
O,46600,21.73,2929.88,LFB1E6075KJB04365
O,46538,29.83,13299.66,LFB1E6675KJB03823
O,46500,35.3,12626.38,LFB1E6674KJB04719
O,46311,22.45,2957,LFB1E6679KJB06286
O,46311,31.34,5196.06,LFB1E6076KJB02432
O,46297,26.3,3619.03,LFB1E6078KJB06918
G,46286,70.18,9651.57,LFB1E6670KJB04068
O,46275,36.69,4877.1,LFB1E6071KJB02421
O,46173,29.74,11210.17,LFB1E6676KJB06262
G,46141,85.8,11883.66,LFB1E6073KJB03165
O,46135,34.14,5286.57,LFB1E6079KJB00545
O,46068,32.79,4406.21,LFB1E6077KJB04514
O,46015,34.08,6810.27,LFB1E607XKJB02840
G,46014,77.52,11011.26,LFB1E6074KJB04177
O,46007,28.8,3973.46,LFB1E6072KJB07997
O,45976,28.27,12765.03,LFB1E6670KJB03597
O,45870,44.17,13154.51,LFB1E6674KJB06048
O,45824,34.56,4811.74,LFB1E667XKJB04921
O,45789,35.88,4469.91,LFB1E6673KJB05943
O,45689,29.79,3728.9,LFB1E6673KJB02914
O,45673,40.87,5126.58,LFB1E667XKJB07124
O,45646,34.04,7764.09,LFB1E6077KJB00513
O,45550,32.58,4793.04,LFB1E6074KJB04177
G,45476,102.28,19268.91,LFB1E6078KJB04277
O,45412,29.97,3824.29,LFB1E6670KJB03146
G,45368,71.57,34977.19,LFB1E6671KJB07187
O,45287,27.13,3274.49,LFB1E6072KJB06803
G,45144,79.2,13768.83,LFB1E6677KJB06643
O,45126,33.28,4765.29,LFB1E6074KJB00534
O,45075,31.23,3710.08,LFB1E6073KJB04915
G,45068,76.83,10856.57,LFB1E6074KJB04373
S,45065,47.7,6340.18,LFB1E6677KJB03516
O,44948,28.9,22178.47,LFB1E607XKJB04149
O,44920,30.73,3759.38,LFB1E6077KJB10510
O,44895,29.12,3922.64,LFB1E6073KJB01819
O,44772,37.06,4546.75,LFB1E667XKJB04918
O,44690,34.78,5072.97,LFB1E607XKJB03860
O,44652,25.7,3281.61,LFB1E6073KJB05448
O,44613,33.05,6094.87,LFB1E6677KJB00695
O,44560,25.48,3660.96,LFB1E6072KJB05988
O,44559,29.45,4035.02,LFB1E667XKJB04756
O,44547,31.78,3965.81,LFB1E6077KJB07400
O,44421,28.49,5430.83,LFB1E6070KJB02197
O,44295,37.55,4823.06,LFB1E6072KJB02881
O,44149,29.09,3417.7,LFB1E6071KJB06341
O,44145,39.62,4802.55,LFB1E6676KJB03068
O,44125,33.97,3947.66,LFB1E6676KJB02373
O,44000,26.09,6979.7,LFB1E6677KJB03032
O,43859,39.79,12494.31,LFB1E6671KJB07092
S,43774,109.05,11379.07,LFB1E6070KJB00496
O,43556,20.34,2564.43,LFB1E6673KJB06395
O,43500,26.77,3070.09,LFB1E6070KJB04340
O,43457,17.46,2128.8,LFB1E6679KJB02786
S,43402,100.64,10723.17,LFB1E6072KJB00502
O,43319,39.18,5235.5,LFB1E6670KJB09609
O,43299,26.95,3261.92,LFB1E6073KJB03330
O,43234,29.34,3798.29,LFB1E6670KJB02692
O,43056,31.47,6739.09,LFB1E667XKJB02618
O,43021,27.77,3074.26,LFB1E6675KJB02574
S,42984,46.57,5715.03,LFB1E6677KJB05847
O,42907,32.62,3963.47,LFB1E6075KJB06035
S,42641,58.86,8354.31,LFB1E6672KJB03388
O,42461,38.58,6611,LFB1E6674KJB02646
O,42397,29.14,3390.81,LFB1E6070KJB04290
O,42390,33.76,4042.17,LFB1E6674KJB04056
O,42354,29.37,6204.57,LFB1E6672KJB03309
O,42321,30.7,4103.93,LFB1E6072KJB05442
O,42312,35.91,6855.57,LFB1E6073KJB01450
O,42174,33.6,3676.51,LFB1E6675KJB02980
G,42103,111.01,12907.87,LFB1E6070KJB00496
O,41987,25.68,6358.35,LFB1E6673KJB03223
O,41982,30.53,3858.01,LFB1E667XKJB03851
O,41896,25.41,3382.06,LFB1E6676KJB02907
O,41882,33.13,9166.16,LFB1E6679KJB03470
G,41812,111.09,12831.33,LFB1E6072KJB00502
O,41731,31.75,3702.8,LFB1E6673KJB03352
O,41660,28.63,3633.64,LFB1E6074KJB02588
O,41555,30.89,4630.22,LFB1E607XKJB05608
O,41520,25.7,2746.59,LFB1E6074KJB01795
O,41519,34.52,12333.89,LFB1E6674KJB00735
G,41459,71.17,8005,LFB1E6679KJB02920
O,41455,27.29,3891.44,LFB1E6676KJB02938
G,41386,55.95,7142.36,LFB1E6074KJB02414
O,41338,25.71,2879.2,LFB1E667XKJB06488
O,41312,25.84,2844.02,LFB1E6678KJB02634
O,41206,24.17,2991.62,LFB1E6676KJB08092
O,41179,32.87,3742.6,LFB1E6672KJB07280
S,41158,67.72,10475.45,LFB1E667XKJB05423
O,41031,34.11,3962.19,LFB1E607XKJB04393
O,41029,24.57,2607.13,LFB1E6677KJB06061
O,41006,33.31,7909.74,LFB1E6077KJB02715
O,40979,34.38,4013.9,LFB1E6677KJB02639
O,40972,31.2,4097.31,LFB1E6670KJB06788
O,40953,28.14,3414.56,LFB1E6678KJB06795
O,40947,24.56,3004.13,LFB1E6676KJB04608
O,40867,22.1,3920.47,LFB1E6675KJB04891
S,40825,50.08,6387.31,LFB1E6073KJB05028
O,40814,29.97,5450.7,LFB1E6679KJB04294
G,40781,67.42,13764.16,LFB1E6675KJB02946
O,40773,39.34,12429.05,LFB1E6671KJB06413
O,40765,33.95,3877.45,LFB1E6670KJB03406
O,40762,41.74,4589.75,LFB1E6679KJB06935
O,40741,38.3,4522.71,LFB1E6072KJB03044
O,40726,33.57,4651.19,LFB1E667XKJB03395
O,40682,26.35,7198.46,LFB1E6675KJB06012
O,40680,26.86,19120.42,LFB1E6675KJB04034
O,40548,37,6968.18,LFB1E6678KJB05369
O,40353,27.63,12618.35,LFB1E6670KJB03809
O,40337,34.66,3810.88,LFB1E6675KJB02624
O,40268,39.59,4839.32,LFB1E6071KJB05397
O,40256,30.82,4638.75,LFB1E6074KJB07242
S,40228,106.71,10555.27,LFB1E6071KJB00510
O,40199,28.28,3217.67,LFB1E6677KJB02429
O,40137,24.51,3040.58,LFB1E6671KJB04662
S,40030,46.55,5099.24,LFB1E6679KJB03114
O,40023,31.46,8199.24,LFB1E6072KJB05358
O,40004,34.38,13743.44,LFB1E6073KJB05353
O,40000,31.35,3423.63,LFB1E6679KJB05526
O,39964,27.16,3806.02,LFB1E6678KJB03802
O,39917,30.78,3650.5,LFB1E6073KJB05028
O,39780,27.85,8999.1,LFB1E667XKJB03588
O,39731,37,4476.91,LFB1E6078KJB06675
O,39707,24.54,3796.21,LFB1E6671KJB04449
O,39600,35.47,5205.17,LFB1E6679KJB06305
G,39589,60.92,7684.61,LFB1E6075KJB06536
O,39563,37.2,5162.45,LFB1E6076KJB05735
O,39355,31.29,3367.64,LFB1E6077KJB08949
O,39310,28.81,2945.24,LFB1E6673KJB02394
O,39187,18.09,2084.4,LFB1E6676KJB02177
G,39121,87,9222.97,LFB1E667XKJB04921
O,39089,28.93,3729.47,LFB1E6678KJB08711
O,39054,29.21,3041.99,LFB1E6670KJB05253
O,38996,32.87,3359.67,LFB1E6071KJB06470
O,38984,31.14,10801.37,LFB1E6671KJB00711
O,38959,32.27,3562.43,LFB1E6070KJB03902
O,38957,29.08,3097.2,LFB1E6075KJB02521
O,38889,32.97,3444,LFB1E6674KJB07829
O,38856,39.4,8821.55,LFB1E6677KJB05332
G,38820,69.73,10159.37,LFB1E6070KJB03365
O,38812,38.55,4083.05,LFB1E6671KJB06105
O,38704,28.79,4213.45,LFB1E6672KJB04072
O,38672,29.25,21415.4,LFB1E6074KJB04938
O,38671,39.63,5591.79,LFB1E6078KJB07275
O,38605,26.4,2950.82,LFB1E6672KJB03083
O,38551,29.69,3151.63,LFB1E6072KJB02721
O,38535,30.71,3757.7,LFB1E6673KJB03089
O,38494,34.73,4023.39,LFB1E667XKJB05146
O,38493,34.37,3687.99,LFB1E6678KJB02908
O,38491,24.87,19706.74,LFB1E6077KJB02522
O,38433,21.78,2617.4,LFB1E6072KJB02461
O,38424,31.1,9403.29,LFB1E6674KJB00721
O,38404,27.42,8784.86,LFB1E6670KJB03048
O,38390,28.28,3097.08,LFB1E6077KJB05629
O,38387,31.53,9299.28,LFB1E6671KJB01809
O,38369,28.33,2826.06,LFB1E667XKJB02182
O,38319,27.55,3432.31,LFB1E6679KJB03114
G,38154,32.65,3716.15,LFB1E6074KJB04325
G,38082,73.65,7871.67,LFB1E6678KJB05369
O,38056,30.4,3237.21,LFB1E6679KJB03498
O,38030,28.33,12284.4,LFB1E6679KJB04506
O,37959,34.48,4225.39,LFB1E6677KJB05038
O,37951,32.01,3370.6,LFB1E6671KJB06993
O,37936,40.46,4094.15,LFB1E6078KJB04845
O,37927,40.85,4319.57,LFB1E6675KJB08164
O,37924,38.66,5528.13,LFB1E6675KJB03496
O,37915,34.13,3469.5,LFB1E6071KJB09210
O,37897,31.65,3206.24,LFB1E6676KJB06102
O,37894,26.04,3065.81,LFB1E6670KJB06645
