road,value,avgVhlSpd,mileage_km,vin
O,12639,28.46,2084.04,LFB1E6079KJB09679
S,12635,63.3,2605.8,LFB1E6079KJB05518
O,12633,26.63,1445.83,LFB1E6679KJB10841
O,12631,28.47,1947.42,LFB1E6673KJB13606
G,12630,55.89,1922.86,LFB1E6675KJB05507
O,12626,32.13,1269.88,LFB1E6679KJB03274
S,12625,63.98,2661.07,LFB1E6075KJB06035
S,12625,60.32,2053.22,LFB1E6673KJB06218
G,12623,78.77,2868.93,LFB1E6077KJB08403
O,12623,30.5,1002.95,LFB1E6670KJB06614
O,12623,26.88,1115.45,LFB1E6072KJB08048
O,12622,30.54,1057.71,LFB1E607XKJB08427
O,12620,37.87,1315.66,LFB1E6673KJB09314
O,12619,26.76,810.73,LFB1E6679KJB09592
O,12619,21.95,784.75,LFB1E6672KJB14648
O,12618,23.8,782.92,LFB1E6676KJB08545
G,12613,85.79,4997.3,LFB1E6671KJB04936
G,12608,59.85,1764.94,LFB1E6675KJB07709
O,12596,29.67,1030.61,LFB1E6073KJB06020
O,12595,31.21,1145.78,LFB1E6072KJB05733
G,12592,81.29,2847.88,LFB1E6670KJB06645
G,12590,85.04,2867.48,LFB1E6079KJB02733
O,12590,24.91,914.76,LFB1E6075KJB07914
O,12589,22.42,761.32,LFB1E6677KJB05721
O,12583,21.94,769.23,LFB1E6074KJB07693
G,12575,62.78,2132.07,LFB1E607XKJB02210
O,12571,26.62,1025.91,LFB1E6075KJB13583
O,12570,34.97,57538.8,LFB1E6677KJB07341
O,12568,32,1060.4,LFB1E667XKJB12422
O,12565,25.06,3146.33,LFB1E6679KJB07826
O,12558,26.46,906.14,LFB1E6671KJB12342
S,12557,40.71,1452.57,LFB1E6675KJB12151
O,12555,28.49,2273.76,LFB1E6076KJB07162
O,12555,36.88,1848.8,LFB1E6676KJB05130
S,12550,47.91,1640.91,LFB1E6671KJB05102
G,12548,46.33,1832.28,LFB1E6671KJB05391
O,12540,32.55,1127.17,LFB1E6071KJB07702
O,12537,27.14,891.66,LFB1E6072KJB07434
O,12537,32.18,5690.79,LFB1E6077KJB08918
O,12536,37.99,2285.09,LFB1E6678KJB12046
O,12533,35.33,2007.94,LFB1E6077KJB07252
O,12531,28.55,944.24,LFB1E6670KJB13613
O,12527,31.74,1155.23,LFB1E6675KJB09279
S,12527,47.98,1673.6,LFB1E6076KJB07226
O,12526,24.85,2140.58,LFB1E6070KJB07240
O,12521,20.48,689.75,LFB1E6670KJB08329
O,12519,31.36,1139.73,LFB1E6071KJB10325
O,12517,27.2,980.39,LFB1E6676KJB10425
O,12513,30.86,1352.99,LFB1E6679KJB04859
O,12511,30.8,9255.87,LFB1E6074KJB09587
O,12505,25.57,8738.49,LFB1E6678KJB05825
O,12505,29.77,1031.4,LFB1E6072KJB07742
G,12497,65.06,2510.39,LFB1E6674KJB08186
O,12496,36.86,2152.23,LFB1E6070KJB08078
O,12487,20.75,1593.01,LFB1E6079KJB06698
S,12487,48.18,1763.01,LFB1E6671KJB06900
O,12478,26.78,897,LFB1E6074KJB11954
G,12473,74.76,2760.57,LFB1E6678KJB10474
O,12469,24.22,800.82,LFB1E6672KJB08011
O,12468,26.92,929,LFB1E6076KJB06755
O,12467,32.02,1165.75,LFB1E6675KJB06463
O,12467,31.76,6148.35,LFB1E6073KJB09242
O,12467,31.18,1092.55,LFB1E6077KJB13990
O,12457,24.91,846.26,LFB1E6676KJB11591
O,12454,25.88,926.28,LFB1E6678KJB08854
O,12452,22.39,19149.91,LFB1E6675KJB02915
O,12446,31.91,1188.57,LFB1E6679KJB10273
O,12445,22.59,747.87,LFB1E6073KJB04669
S,12443,44.56,1501.19,LFB1E6073KJB03988
O,12443,27.82,1753.36,LFB1E6078KJB04991
O,12441,23.46,1045.01,LFB1E6071KJB08428
O,12438,27.34,905.86,LFB1E6679KJB02142
G,12438,81.04,3136.2,LFB1E6670KJB04443
O,12436,26.65,1036.79,LFB1E6079KJB09987
O,12435,26.28,924.5,LFB1E6078KJB11911
O,12433,23.48,808.17,LFB1E607XKJB10470
G,12427,65.43,2222.28,LFB1E6673KJB07644
G,12419,85.75,3240.34,LFB1E6672KJB09188
O,12418,29.88,2343.63,LFB1E6079KJB07625
G,12415,75.52,2601.69,LFB1E6072KJB05862
O,12406,23.05,769.07,LFB1E6678KJB07607
S,12406,40.01,1420.62,LFB1E6078KJB02271
O,12398,30.9,2728.62,LFB1E6070KJB06198
O,12390,30.15,14760.71,LFB1E6677KJB07307
O,12388,23.18,760.26,LFB1E6677KJB07033
G,12386,85.77,2947.66,LFB1E6070KJB02684
O,12384,25.81,885.6,LFB1E6676KJB05287
O,12383,26.07,876.81,LFB1E6075KJB08366
S,12383,35.56,1686.1,LFB1E6679KJB02979
O,12381,31.67,1042.14,LFB1E6079KJB12145
O,12378,35.03,1213.33,LFB1E6679KJB13061
O,12377,35.1,1173.04,LFB1E6072KJB09510
G,12375,74.21,2536.24,LFB1E6672KJB05285
G,12374,40.91,1424.71,LFB1E6674KJB06910
O,12367,36.46,2374.58,LFB1E6073KJB06096
G,12367,74.82,2366.19,LFB1E6071KJB03682
O,12362,38.31,1263.66,LFB1E6077KJB08272
O,12362,24.37,813.22,LFB1E6071KJB13337
O,12358,29.81,1008.21,LFB1E6678KJB08613
O,12358,35.54,2561.01,LFB1E6677KJB12409
G,12352,66.94,2402.02,LFB1E6678KJB08661
O,12351,41.61,1407.51,LFB1E6076KJB12930
O,12349,23.97,1851.9,LFB1E6074KJB07077
R,12349,42.97,1809.62,LFB1E6678KJB03881
O,12349,29.2,954.35,LFB1E6075KJB09193
G,12348,66.42,5288.54,LFB1E6670KJB06788
O,12347,25.01,1737.07,LFB1E6075KJB08576
O,12344,25.52,832.93,LFB1E6072KJB05229
O,12343,28.2,997.88,LFB1E607XKJB09237
S,12341,53.01,1825.21,LFB1E6677KJB04861
O,12341,27.15,4198.79,LFB1E6074KJB13624
S,12339,74.38,2764.48,LFB1E6670KJB01252
G,12338,66.46,2194.18,LFB1E6672KJB09787
O,12335,27.9,864.13,LFB1E6079KJB05406
O,12331,24.31,812.48,LFB1E6675KJB08309
O,12329,30.78,1079.65,LFB1E6673KJB07417
O,12326,23.78,781.62,LFB1E667XKJB03414
O,12326,23.74,826.73,LFB1E607XKJB06211
O,12324,23.05,759.44,LFB1E6076KJB06982
O,12323,21.97,1895.42,LFB1E6076KJB05699
O,12323,26.17,870.91,LFB1E6670KJB08461
G,12321,78.2,2687.55,LFB1E6670KJB02577
G,12321,78.61,2756.79,LFB1E6679KJB07907
G,12320,89.61,2618.88,LFB1E6670KJB06063
O,12319,28.97,975.36,LFB1E6676KJB05581
O,12319,31.6,1141.47,LFB1E6678KJB13651
G,12318,81.53,2785.75,LFB1E6676KJB04298
S,12316,45.24,1726.97,LFB1E6672KJB05478
O,12312,26.44,3957.88,LFB1E6675KJB09914
O,12311,21.31,643.88,LFB1E6075KJB06682
O,12308,28.38,931.25,LFB1E6677KJB09705
O,12305,28.99,1856.01,LFB1E6671KJB03043
G,12303,94.96,3282.85,LFB1E6672KJB07280
S,12303,46.74,1608.9,LFB1E6076KJB06383
G,12302,63.76,2210.14,LFB1E6074KJB06883
O,12294,24.59,1204.73,LFB1E6677KJB11583
G,12292,79.26,2680.28,LFB1E6678KJB06098
O,12290,32.8,1184.12,LFB1E6078KJB06546
O,12285,31.63,1104.89,LFB1E6670KJB12414
G,12285,65.3,2280.27,LFB1E6678KJB05520
G,12284,83.7,2892.6,LFB1E6079KJB04322
O,12282,29.77,924.62,LFB1E6679KJB02416
G,12282,39.5,1315.09,LFB1E6077KJB03847
O,12280,26.06,870.98,LFB1E6679KJB08054
S,12280,56.71,1870.28,LFB1E6672KJB03794
G,12279,45.82,1452.28,LFB1E6072KJB07885
O,12279,22.43,837.25,LFB1E6671KJB05701
O,12275,35,1130.51,LFB1E607XKJB09352
O,12271,40.77,1360.38,LFB1E6075KJB11686
O,12271,31.41,8538.2,LFB1E6677KJB06593
O,12269,24.46,818.7,LFB1E667XKJB11626
O,12268,39.57,1314.33,LFB1E6077KJB06909
O,12265,29.26,979.76,LFB1E607XKJB11893
S,12260,73.92,2534.9,LFB1E6075KJB02521
G,12260,78.34,2654.36,LFB1E6675KJB08164
S,12258,50.17,1955.35,LFB1E6674KJB04624
O,12246,23.28,1036.67,LFB1E6679KJB12783
S,12245,42.62,1470.59,LFB1E6678KJB08028
S,12243,67.71,2387.38,LFB1E6676KJB03118
O,12241,26.25,877.07,LFB1E6675KJB05510
G,12240,67.58,3436.09,LFB1E6671KJB09053
G,12239,98.9,3074.42,LFB1E607XKJB05981
O,12237,33.69,1136.07,LFB1E6075KJB09081
O,12237,37.76,1292.42,LFB1E6671KJB11689
G,12232,85.25,3802.86,LFB1E6677KJB09705
G,12226,73.58,2430.25,LFB1E6077KJB08935
O,12222,25.87,872.76,LFB1E6678KJB03671
O,12220,38.36,10073.97,LFB1E6671KJB06945
G,12220,82.1,3021.28,LFB1E667XKJB04823
G,12219,56.41,1877.87,LFB1E6078KJB04764
G,12218,44.17,2379.49,LFB1E6075KJB07024
O,12217,32.3,1067.63,LFB1E6070KJB09585
O,12215,29.16,1006.92,LFB1E6073KJB08947
G,12211,34.78,1230.72,LFB1E6072KJB05621
O,12207,24.33,4574.43,LFB1E6675KJB08116
O,12207,34.35,1656.15,LFB1E6672KJB05433
O,12206,29.93,944.44,LFB1E6672KJB06310
S,12205,51.61,1723.11,LFB1E6075KJB07301
G,12204,55.14,2410.24,LFB1E6079KJB03946
O,12199,38.02,1966.18,LFB1E6673KJB06106
S,12194,68.88,10804.52,LFB1E6075KJB03667
O,12191,27.63,1109.93,LFB1E6672KJB13158
O,12190,29.55,988.77,LFB1E6676KJB08996
G,12189,87.55,2965.07,LFB1E6078KJB10967
O,12187,28.06,4459.59,LFB1E6676KJB09730
O,12185,31.8,1067.27,LFB1E667XKJB13294
G,12185,36.51,1227.42,LFB1E6670KJB12400
O,12184,30.92,3282.74,LFB1E6074KJB06821
G,12183,59.17,2113.63,LFB1E6678KJB05534
S,12182,31.02,1045.94,LFB1E6679KJB08202
O,12182,33.02,1150.3,LFB1E6079KJB07379
G,12177,43.8,1409.81,LFB1E6672KJB02208
G,12175,43.24,1322.96,LFB1E6073KJB06325
G,12172,68.53,3556.23,LFB1E6078KJB02254
O,12168,37.92,1225.69,LFB1E6678KJB05176
O,12165,24.78,913.83,LFB1E6078KJB09091
O,12152,35.57,1910.83,LFB1E6074KJB05779
O,12151,30.05,2084.94,LFB1E6675KJB11971
G,12149,57.96,1895.22,LFB1E6674KJB06308
O,12148,25.37,833.47,LFB1E6675KJB07614
G,12145,70.76,12829.96,LFB1E6671KJB09909
O,12143,27.42,1490.76,LFB1E667XKJB04532
G,12140,53.58,1854.03,LFB1E6678KJB04299
O,12129,28.17,933.53,LFB1E6075KJB12319
O,12125,32.5,1166.63,LFB1E6671KJB07027
O,12125,23.96,773.86,LFB1E6078KJB06577
O,12125,29.4,967.57,LFB1E6077KJB05940
G,12119,62.22,2093.87,LFB1E6678KJB03802
G,12118,77.57,2932.92,LFB1E6072KJB06204
O,12116,35.89,1212.93,LFB1E6673KJB12679
O,12115,23.53,738.98,LFB1E6670KJB09979
S,12114,48.46,2540.54,LFB1E6670KJB05544
G,12113,86.99,3387.27,LFB1E6071KJB04766
O,12110,26.09,848.72,LFB1E6075KJB04253
O,12107,29.99,12479.77,LFB1E6674KJB06809
O,12107,31.47,1236.01,LFB1E6677KJB10398
O,12106,28.86,1105.87,LFB1E6072KJB05330
O,12096,23.35,756.9,LFB1E607XKJB09254
G,12095,75.39,2618.51,LFB1E6671KJB09781
O,12090,26.07,1080.76,LFB1E6075KJB09999
O,12086,25.97,830.53,LFB1E6073KJB10083
O,12085,23.47,750.4,LFB1E6071KJB10387
O,12079,29.35,936.88,LFB1E607XKJB02255
S,12077,64.45,2105.79,LFB1E6074KJB06754
O,12075,27.55,938.17,LFB1E6670KJB02675
G,12075,72.59,2447.96,LFB1E6077KJB09518
G,12074,79.38,8176.49,LFB1E6674KJB08334
G,12074,42.24,1583.76,LFB1E6670KJB07701
O,12072,29.47,3775.3,LFB1E6671KJB05925
G,12067,64.64,2154.31,LFB1E6073KJB07264
O,12064,27.38,1089.09,LFB1E6079KJB04465
S,12054,45.42,1501.73,LFB1E6675KJB05717
O,12050,29.71,975.76,LFB1E6679KJB09642
S,12049,48.02,2119.08,LFB1E6671KJB07612
O,12048,28.87,1276.23,LFB1E6672KJB07103
O,12047,27.14,887.75,LFB1E6676KJB09615
O,12047,32.2,1057.19,LFB1E6670KJB08136
O,12046,44.15,1503.04,LFB1E6672KJB11085
O,12043,23.41,14359.79,LFB1E6672KJB04525
G,12041,62.9,2090.91,LFB1E6676KJB04513
S,12039,58.2,1791.49,LFB1E607XKJB03860
G,12035,80.67,3738.55,LFB1E6078KJB09057
O,12033,32.34,1094.08,LFB1E6077KJB07395
O,12032,44.86,5640.24,LFB1E6675KJB10481
S,12029,61.22,1987.6,LFB1E6675KJB03353
G,12028,91.58,3033.81,LFB1E6070KJB06931
G,12028,58.66,1960.53,LFB1E6071KJB07635
S,12027,48.92,1664.01,LFB1E6075KJB06584
O,12027,24.7,1500.77,LFB1E6674KJB14053
O,12027,28.81,1119.88,LFB1E6079KJB04613
O,12025,25.06,5330.3,LFB1E6078KJB08409
G,12025,83.34,2992.75,LFB1E6674KJB09564
O,12023,29.01,1336.52,LFB1E6670KJB03874
O,12021,24.65,8044.94,LFB1E6075KJB06813
G,12020,55.2,1838.94,LFB1E6675KJB07306
S,12017,57.89,1930.51,LFB1E6070KJB07271
O,12016,23.67,2718.53,LFB1E667XKJB10010
G,12013,44.18,1434.95,LFB1E6076KJB07520
O,12011,29.57,1067.77,LFB1E6071KJB07540
G,12006,51.54,1711.51,LFB1E6672KJB06047
G,12005,57.22,1765.71,LFB1E6074KJB06561
O,12004,45.1,1527.87,LFB1E6074KJB08794
O,11997,22.5,3185.63,LFB1E6071KJB13709
G,11995,72.48,3133.46,LFB1E6078KJB10242
G,11992,76.97,2556.08,LFB1E6670KJB04894
G,11988,73.39,2682.33,LFB1E6071KJB04735
O,11983,23.29,1446.22,LFB1E6075KJB08562
O,11981,29.92,976.88,LFB1E6072KJB08227
O,11979,20.14,592.69,LFB1E6674KJB08382
G,11976,84.48,2871.69,LFB1E6675KJB09315
O,11974,27.5,2845.19,LFB1E6678KJB13407
O,11973,28.93,3826.62,LFB1E6679KJB06062
S,11972,69.92,2312.93,LFB1E6677KJB03273
S,11971,22.05,671.51,LFB1E6071KJB05996
O,11969,29.23,933.19,LFB1E607XKJB08721
O,11967,24.64,2301.96,LFB1E6677KJB05007
G,11958,91.98,3056.91,LFB1E6678KJB03041
O,11958,29.45,2028.1,LFB1E6674KJB08401
O,11956,27.95,856.6,LFB1E6079KJB09214
G,11952,41,1350.22,LFB1E6678KJB05212
G,11950,59.62,2069.65,LFB1E6677KJB08487
O,11950,18.69,595.51,LFB1E6679KJB04988
O,11949,25.83,828.09,LFB1E6079KJB07365
O,11946,27.01,913.62,LFB1E6076KJB03239
O,11937,21.85,699.28,LFB1E6671KJB08856
S,11937,36.46,1158.55,LFB1E6071KJB09210
O,11936,24.58,853.78,LFB1E6678KJB07364
O,11935,33.13,1127.62,LFB1E6079KJB05230
O,11935,31.67,1023.6,LFB1E6079KJB08502
S,11933,24.45,826.2,LFB1E6075KJB04141
O,11932,28.79,7206.4,LFB1E6679KJB06448
O,11930,25.21,857.77,LFB1E6676KJB04026
O,11926,29.58,3791,LFB1E6674KJB01741
O,11919,33.68,1116.16,LFB1E6075KJB09890
S,11918,56.74,2637.82,LFB1E667XKJB07575
O,11917,25.38,768.39,LFB1E6677KJB01734
G,11915,57.83,1862.62,LFB1E6070KJB02197
O,11914,27.63,976.76,LFB1E6671KJB10428
O,11912,24.62,822.72,LFB1E6678KJB12290
O,11909,24.67,827.76,LFB1E6079KJB06961
O,11906,29.91,1386.27,LFB1E6075KJB10196
O,11905,27.13,828.27,LFB1E6072KJB06462
G,11905,77.48,12501.15,LFB1E667XKJB09858
S,11905,30.01,933.14,LFB1E6670KJB04801
O,11904,41.81,1364.97,LFB1E6073KJB09659
O,11903,24.58,859.54,LFB1E6079KJB04515
O,11903,28.8,4852.52,LFB1E6074KJB09346
O,11901,28.2,2188.32,LFB1E6678KJB10278
O,11900,22.48,780.99,LFB1E667XKJB06314
S,11895,28.14,3028.4,LFB1E6674KJB05904
O,11895,19.52,945.89,LFB1E6676KJB06746
O,11893,21.59,693.28,LFB1E6676KJB08027
O,11890,27.97,861.73,LFB1E6071KJB06663
O,11889,29.74,39288.19,LFB1E6076KJB06562
O,11887,32.47,1064.06,LFB1E6076KJB13575
O,11886,26,962.06,LFB1E6675KJB08326
O,11886,26.48,845.4,LFB1E6672KJB02189
O,11883,34.23,3363.82,LFB1E667XKJB08418
O,11880,21.11,877.9,LFB1E6678KJB04996
O,11879,28.58,910.44,LFB1E6679KJB08197
O,11878,23.8,6015.63,LFB1E6673KJB10480
G,11875,54.17,1762.98,LFB1E6671KJB10445
O,11874,29.64,2749.36,LFB1E6072KJB08180
O,11873,49.67,1906.9,LFB1E6073KJB08253
O,11873,27.45,872.87,LFB1E6072KJB04551
O,11871,30.46,1304.66,LFB1E6678KJB09986
G,11869,89.89,3492.39,LFB1E6674KJB03344
G,11868,56.6,1876.88,LFB1E607XKJB07844
O,11865,29.46,944.87,LFB1E6672KJB07862
S,11865,46.89,1534.67,LFB1E6670KJB02577
S,11863,33.77,1118.7,LFB1E6078KJB08796
O,11862,30.89,981.14,LFB1E6070KJB11322
O,11861,24.39,808.34,LFB1E6675KJB06236
O,11859,32.61,1302.94,LFB1E6078KJB08541
O,11855,23.81,702.12,LFB1E6077KJB09339
O,11853,27.91,971.33,LFB1E6677KJB04195
O,11852,24.39,901.92,LFB1E607XKJB08718
G,11850,86.37,2915.94,LFB1E6670KJB05558
O,11848,27.39,5633.62,LFB1E6675KJB10125
G,11847,75.53,2237.42,LFB1E6672KJB04086
G,11847,60.75,1945.14,LFB1E6679KJB06465
O,11847,32.89,1178.77,LFB1E6074KJB06835
O,11844,25.53,1935.11,LFB1E6070KJB06735
O,11844,30.33,967.44,LFB1E6077KJB10801
O,11842,39.13,44192.7,LFB1E6076KJB04665
O,11841,44.37,21225.03,LFB1E6676KJB10683
O,11840,25.83,911.27,LFB1E6675KJB09699
G,11840,47.43,1534.91,LFB1E6672KJB08252
O,11840,23,5072.48,LFB1E6072KJB11600
O,11838,27.67,2348.17,LFB1E6077KJB07736
O,11831,32.81,1580.54,LFB1E6673KJB10690
G,11830,73.66,2426.77,LFB1E6674KJB06857
O,11829,28.52,848.84,LFB1E6079KJB08208
O,11823,33,1406.31,LFB1E6670KJB08847
O,11821,19.81,711.63,LFB1E6072KJB05750
O,11819,33.67,1083.69,LFB1E6674KJB06308
O,11818,33.85,1062.1,LFB1E6073KJB10164
O,11811,31.73,2905.05,LFB1E6672KJB04332
G,11809,83.48,2640.42,LFB1E6677KJB02981
O,11806,24.77,1250.9,LFB1E6679KJB07406
S,11804,28.46,941.38,LFB1E6672KJB03326
O,11802,23.72,3353.58,LFB1E6678KJB08627
G,11801,73.26,2361.74,LFB1E6074KJB02865
O,11798,40.67,1490.83,LFB1E6072KJB11502
O,11797,35.17,8093.53,LFB1E6072KJB07496
O,11796,24.86,739.63,LFB1E6075KJB10988
O,11795,23.18,4122.51,LFB1E6072KJB05120
O,11793,23.4,849.58,LFB1E6071KJB10289
S,11792,68.18,2199,LFB1E6072KJB05733
O,11787,32.04,1034.6,LFB1E607XKJB06483
O,11787,24.3,893.8,LFB1E6671KJB05794
O,11787,28.9,2485.73,LFB1E607XKJB06967
O,11783,27.27,860.7,LFB1E6078KJB07891
O,11781,29.44,939.68,LFB1E6671KJB08971
O,11781,36.04,1267.29,LFB1E667XKJB07026
O,11780,29.29,947.69,LFB1E6676KJB10540
O,11776,21.63,685.39,LFB1E6071KJB08154
O,11776,42.75,1265.04,LFB1E6678KJB10037
G,11773,76.59,2563.03,LFB1E6676KJB08092
O,11772,28.65,914.82,LFB1E667XKJB13599
G,11770,81.72,2664.92,LFB1E6074KJB07659
O,11770,31.36,1008.41,LFB1E6677KJB09431
O,11770,31.18,987.09,LFB1E6075KJB05774
O,11769,44.78,1430.31,LFB1E6673KJB08812
G,11769,88.74,2925.02,LFB1E6075KJB05967
O,11767,34.4,1143.45,LFB1E6675KJB03806
O,11764,24.36,888.75,LFB1E667XKJB10928
G,11764,91.91,3055.39,LFB1E6674KJB07040
O,11762,29.17,994.76,LFB1E6677KJB06450
O,11762,27.42,7341.21,LFB1E6074KJB08746
O,11761,28.61,880.83,LFB1E6677KJB01054
G,11760,52.28,1690.75,LFB1E6070KJB10266
O,11760,28.44,1155.73,LFB1E6079KJB06815
O,11752,29.11,1190.85,LFB1E6675KJB09654
O,11752,23.28,715.63,LFB1E6072KJB05506
G,11749,49.46,2202.43,LFB1E6070KJB09473
O,11749,24.36,783.76,LFB1E6673KJB05800
S,11744,63.27,2044.93,LFB1E6074KJB04373
G,11743,64.8,2078.87,LFB1E6673KJB04856
O,11742,32.78,1026.37,LFB1E667XKJB07575
G,11737,69.15,2193.02,LFB1E6675KJB10934
G,11736,71.67,2335.67,LFB1E6674KJB08396
S,11734,27.83,876.24,LFB1E6672KJB02970
O,11734,23.44,4666.62,LFB1E6676KJB12952
O,11732,24.51,947.85,LFB1E6678KJB07901
G,11726,73.96,2469.59,LFB1E6079KJB08404
G,11726,64.86,3019.86,LFB1E6070KJB07867
O,11725,27.59,3306.26,LFB1E6678KJB12693
O,11725,33.43,1098.81,LFB1E6678KJB07977
O,11724,29.38,6598.17,LFB1E6672KJB06968
O,11719,23.77,746.42,LFB1E667XKJB09777
S,11718,44.42,1461.23,LFB1E6670KJB06645
S,11718,49.12,1669.44,LFB1E6074KJB06639
O,11718,34.9,1133.7,LFB1E6671KJB09392
O,11718,27.31,4181.58,LFB1E667XKJB10234
O,11718,41.09,2093.24,LFB1E6676KJB02874
S,11714,42.39,2337.2,LFB1E6077KJB06196
O,11712,26.7,827.26,LFB1E6076KJB03371
G,11711,70.52,2459.6,LFB1E6672KJB03620
G,11711,68.58,2086.43,LFB1E6676KJB06231
S,11709,46.83,6381.7,LFB1E6076KJB06710
S,11706,43.94,1428.72,LFB1E6677KJB07923
O,11705,29.18,1311.49,LFB1E6674KJB03862
O,11705,25.65,791.43,LFB1E6075KJB08402
G,11702,68.7,2249.86,LFB1E6675KJB09671
O,11701,33.68,1085.25,LFB1E6073KJB10682
O,11695,27.48,7771.78,LFB1E6078KJB08006
O,11692,40.72,1347.24,LFB1E6677KJB11020
O,11691,23.13,1077.9,LFB1E6077KJB08174
G,11691,73.79,2434.51,LFB1E6672KJB08221
O,11691,38.94,1483.57,LFB1E6671KJB13622
G,11689,75.92,5594.43,LFB1E6677KJB04732
O,11689,23.55,1287.04,LFB1E6672KJB12415
S,11686,49.88,10720.75,LFB1E6073KJB08608
S,11686,42.11,1300.42,LFB1E667XKJB09861
G,11685,59.86,2440.5,LFB1E6076KJB05492
O,11682,32.99,1352.69,LFB1E6679KJB06885
G,11681,64.24,1999.19,LFB1E6675KJB12294
O,11681,28.06,863.01,LFB1E6671KJB06590
G,11679,68.19,2317.7,LFB1E607XKJB01798
S,11678,43.59,1390.12,LFB1E6671KJB05701
O,11678,34.65,1327.34,LFB1E6075KJB08609
O,11678,28.2,1018.74,LFB1E6071KJB06629
G,11677,42.11,1318.26,LFB1E6672KJB06758
O,11673,31.62,1063.07,LFB1E6074KJB10450
O,11671,28.11,845.76,LFB1E6677KJB13592
O,11670,27.71,1091.36,LFB1E6673KJB08258
S,11670,39.69,1242.33,LFB1E6078KJB03999
S,11665,40.41,1406.4,LFB1E6671KJB04662
S,11664,51.47,2033.08,LFB1E667XKJB06071
O,11664,26.66,1349.59,LFB1E6673KJB09698
G,11659,68.01,2362.88,LFB1E6674KJB06941
O,11659,31.47,3494.81,LFB1E6670KJB08802
O,11657,28.54,1017.53,LFB1E6675KJB08875
G,11655,86.16,2800.1,LFB1E6670KJB05902
O,11652,30.01,890.14,LFB1E6679KJB06059
O,11651,30.96,1400.21,LFB1E6677KJB06626
O,11650,23.04,714.8,LFB1E6676KJB04754
O,11649,30.89,13206.37,LFB1E6076KJB07095
G,11649,39.96,2174.33,LFB1E6079KJB03932
R,11648,37.07,1203.44,LFB1E6676KJB01742
G,11645,69.75,2396.31,LFB1E6674KJB07734
G,11645,53.91,1764.77,LFB1E6072KJB02881
O,11644,24.58,762.14,LFB1E6671KJB09831
O,11642,27.66,1109.54,LFB1E667XKJB06071
G,11642,49.72,1620.46,LFB1E667XKJB05311
O,11629,30.58,9322.14,LFB1E6678KJB09423
G,11624,70.44,2239.03,LFB1E6079KJB07429
O,11623,33.17,6440.98,LFB1E6674KJB06891
O,11619,22.55,887.19,LFB1E6676KJB07167
G,11615,87.44,2789.45,LFB1E6079KJB04451
O,11614,24.91,1424.11,LFB1E6074KJB07094
O,11613,26.74,790.36,LFB1E6675KJB03143
O,11613,24.65,723.27,LFB1E6077KJB09860
O,11613,28.04,1530.3,LFB1E6675KJB06303
O,11610,22.43,681.77,LFB1E6071KJB07196
O,11610,35.36,1120.78,LFB1E6074KJB06026
O,11607,29.72,8939.07,LFB1E6676KJB09291
O,11604,17.14,545.68,LFB1E6671KJB08632
S,11602,53.68,1717.33,LFB1E6074KJB05233
O,11599,29.68,888.23,LFB1E6074KJB04504
O,11597,30.89,1049.78,LFB1E6675KJB02199
O,11594,31.91,1016.94,LFB1E6072KJB09006
O,11594,31,1013.45,LFB1E607XKJB07021
S,11593,71.3,2267.75,LFB1E6072KJB02735
S,11592,36.47,1070.09,LFB1E6670KJB06662
G,11587,43.13,2535.7,LFB1E6679KJB05235
O,11583,34.15,1240.06,LFB1E6670KJB05575
G,11583,56.95,4273.73,LFB1E6071KJB05075
S,11575,27.22,805.53,LFB1E6679KJB03162
O,11574,37.84,1235.19,LFB1E6078KJB11701
O,11574,24.99,808.5,LFB1E6674KJB10584
O,11573,30.67,1256.22,LFB1E6671KJB14219
O,11571,27.75,974.17,LFB1E6677KJB06075
O,11571,34.62,1121,LFB1E6073KJB09922
O,11570,24.96,732.57,LFB1E6077KJB11544
O,11568,42.45,1346.14,LFB1E6071KJB08963
G,11564,84.07,2808.92,LFB1E6072KJB04131
O,11560,25.91,836.22,LFB1E6076KJB02690
S,11558,48.19,1684.54,LFB1E6670KJB06869
O,11550,23.93,861.46,LFB1E6670KJB14566
S,11550,48.27,1574.4,LFB1E6672KJB10244
O,11547,28.33,896.82,LFB1E6673KJB14464
O,11546,25.74,788.55,LFB1E6672KJB05125
O,11543,27.27,1055.43,LFB1E667XKJB07799
S,11542,59.7,1983.06,LFB1E6071KJB09501
G,11541,34.53,1429.04,LFB1E6078KJB09835
O,11540,36.76,1175.44,LFB1E667XKJB11870
O,11539,40.09,9243.99,LFB1E6077KJB05775
S,11534,45.49,1592.68,LFB1E6670KJB02322
O,11531,28.2,1103.66,LFB1E6679KJB09267
O,11530,30.96,968.1,LFB1E6072KJB08292
S,11529,30.99,969.27,LFB1E6670KJB07892
O,11528,35.4,1082.39,LFB1E6071KJB13483
O,11526,31.22,945.13,LFB1E6670KJB07309
G,11522,56.79,2338.38,LFB1E6670KJB05706
O,11521,22.95,701.53,LFB1E6677KJB12118
R,11521,34.18,1051.53,LFB1E6678KJB04612
O,11521,28.84,909.69,LFB1E6677KJB11616
O,11511,29.83,940.52,LFB1E6070KJB09442
O,11506,35.54,1125.35,LFB1E6673KJB11970
O,11504,34.15,1390.39,LFB1E6677KJB08263
S,11497,47.52,1552.06,LFB1E6676KJB05015
