acc,category,value
-5.26,AX,56
-5.24,AY,48
-5.24,AX,22
-5.21,AY,172
-5.21,AX,52
-5.18,AY,120
-5.18,AX,60
-5.15,AY,112
-5.15,AX,47
-5.13,AY,54
-5.13,AX,31
-5.1,AY,117
-5.1,AX,62
-5.07,AY,203
-5.07,AX,73
-5.05,AY,130
-5.05,AX,74
-5.02,AY,57
-5.02,AX,25
-4.99,AY,115
-4.99,AX,79
-4.96,AY,143
-4.96,AX,80
-4.94,AY,220
-4.94,AX,74
-4.91,AY,76
-4.91,AX,45
-4.88,AY,151
-4.88,AX,94
-4.86,AY,157
-4.86,AX,94
-4.83,AY,98
-4.83,AX,49
-4.8,AY,165
-4.8,AX,90
-4.77,AY,213
-4.77,AX,87
-4.75,AY,164
-4.75,AX,107
-4.72,AY,81
-4.72,AX,55
-4.69,AY,184
-4.69,AX,107
-4.67,AY,178
-4.67,AX,122
-4.64,AY,278
-4.64,AX,117
-4.61,AY,91
-4.61,AX,63
-4.58,AY,193
-4.58,AX,140
-4.56,AY,208
-4.56,AX,156
-4.53,AY,208
-4.53,AX,146
-4.5,AY,232
-4.5,AX,83
-4.48,AY,247
-4.48,AX,166
-4.45,AY,294
-4.45,AX,170
-4.42,AY,311
-4.42,AX,186
-4.39,AY,144
-4.39,AX,87
-4.37,AY,370
-4.37,AX,178
-4.34,AY,254
-4.34,AX,166
-4.31,AY,137
-4.31,AX,94
-4.29,AY,263
-4.29,AX,189
-4.26,AY,284
-4.26,AX,202
-4.23,AY,427
-4.23,AX,196
-4.2,AY,159
-4.2,AX,110
-4.18,AY,347
-4.18,AX,218
-4.15,AY,322
-4.15,AX,241
-4.12,AY,350
-4.12,AX,283
-4.1,AY,219
-4.1,AX,132
-4.07,AY,523
-4.07,AX,241
-4.04,AY,354
-4.04,AX,309
-4.01,AY,400
-4.01,AX,320
-3.99,AY,205
-3.99,AX,147
-3.96,AY,441
-3.96,AX,332
-3.93,AY,660
-3.93,AX,393
-3.91,AY,446
-3.91,AX,384
-3.88,AY,237
-3.88,AX,207
-3.85,AY,506
-3.85,AX,386
-3.82,AY,517
-3.82,AX,455
-3.8,AY,508
-3.8,AX,222
-3.77,AY,610
-3.77,AX,516
-3.74,AY,570
-3.74,AX,519
-3.72,AY,614
-3.72,AX,523
-3.69,AY,304
-3.69,AX,258
-3.66,AY,999
-3.66,AX,547
